být	be
a se	and
v	in
na	on
ten	the
on	he
že	that
s	with
z	from
který	which
mít	have
do	to
já	I
o	about
k	to
i	and
jeho	his
ale	but
svůj	his
jako	as
za	for
moci	be able to
rok	year
pro	for
tak	so
po	after
tento	this
co	what
když	when
všechen	every
už	already
jak	how
aby	to
od	from
nebo	or
říci	say
jeden	one
jen	only
můj	my
jenž	that
člověk	man
ty	you
stát	state
u	at
muset	have to
velký	great
chtít	want
také	also
až	until
než	than
ještě	yet
při	at
jít	go
pak	then
před	before
dva	two
však	however
ani	neither
vědět	know
nový	new
hodně	lot
podle	by
další	next
celý	round
jiný	other
první	first
mezi	between
dát	give
tady	here
den	day
tam	there
kde	where
doba	time
každý	everyone
druhý	other
místo	place
dobrý	good
takový	such
strana	page
protože	because
nic	nothing
začít	begin
něco	something
život	life
vidět	see
říkat	say
země	country
dítě	baby
malý	little
ne	No
sám	himself
bez	without
ruka	hand
či	whether
svět	world
dostat	get
práce	work
nějaký	some
proto	therefore
pod	below
tři	three
kdy	when
město	city
přijít	come
dobře	good
žena	woman
muž	man
teď	now
kdo	who
již	already
nad	above
asi	about
starý	old
například	for example
případ	case
vysoký	high
žádný	none
společnost	company
několik	several
některý	some
tedy	therefore
cesta	journey
pokud	if
dělat	do
hlava	head
čas	time
poslední	latest
oko	eye
právě	just
tvůj	yours
Praha	Prague
věc	thing
voda	water
český	Czech
proti	against
velmi	very
jaký	what
přes	through
dům	home
dnes	today
pan	Mr.
část	section
třeba	perhaps
kdyby	if
brzy	soon
lze	You can
firma	business
oba	both
slovo	word
tenhle	this
vlastní	own
nikdy	never
koruna	crown
možný	possible
chvíle	while
udělat	do
pouze	only
proč	why
systém	system
konec	end
kolem	around
málo	little
myslit	think
stejně	anyway
-li	if
Český	Czech
moc	power
problém	issue
milión	million
nikdo	nobody
stále	still
totiž	namely
někdo	someone
tisíc	thousand
vůbec	ever
zákon	law
nechat	leave
najít	find
což	which
cena	price
rád	happy
škola	school
hlavní	main
skupina	group
mladý	young
způsob	way
často	often
řada	advice
jediný	single
mluvit	speak
vrátit	return
různý	different
hrát	play
snad	maybe
zůstat	stay
vzít	take
dlouhý	long
čekat	wait
patřit	belong
oblast	area
vláda	government
dokonce	even
známý	known
dokázat	prove
peníze	money
mnoho	many
otázka	question
vést	lead
právo	right
spíše	rather
pozdě	late
žít	live
zase	again
především	especially
ovšem	of course
takže	so
století	century
přece	yet
možnost	possibility
ostatní	other
