jednostranný	one-sided
korejský	Korean
publicista	publicist
včasný	early
Wilson	Wilson
Barcelona	Barcelona
bronz	bronze
dopouštět	commit
Mojžíš	Moses
padající	falling
portugalský	Portuguese
poslušnost	obedience
rozkvět	florescence
sirotek	orphan
veš	louse
bříško	tummy
kmenový	tribal
maják	lighthouse
plemeno	breed
pokynout	beckon
stoprocentně	definitely
ubrousek	doily
zuřivý	furious
Czech	Czech
hlavice	capital
World	World
kli	cli
liberalizace	liberalization
Ormus	Ormus
ospalý	sleepy
pomale	slow
Quinn	Quinn
spojovací	connecting
strojní	machine
vítězit	win
zasunout	slide
zkomplikovat	complicate
deštník	umbrella
kšeft	racket
nudlička	noodle
réva	vine
vesničan	villager
vynutit	enforce
zámořský	overseas
kvalitativní	qualitative
podsvětí	underworld
senátní	Senate
tolerovat	tolerate
vůdčí	leading
zbrojní	arms
čtverec	square
hřát	warm
hygiena	hygiene
kuřák	smoker
Kypr	Cyprus
podnebí	climate
převodovka	transmission
temně	darkly
vyhazovat	throw away
vychutnávat	enjoy
zprostředkovat	convey
dívenka	girl
horizontální	horizontal
močový	urine
Shakespeare	Shakespeare
afghánský	Afghan
Bož	Of God
čaroděj	wizard
dramaticky	dramatically
motorka	motorbike
obsluhovat	operate
splatit	repay
tenhleten	this one
usínat	sleep
bombardování	bombing
masáž	massage
úctyhodný	venerable
udat	state
únavný	tiresome
ustavičně	incessantly
Larry	Larry
Leopold	Leopold
mzdový	Wages
ručička	needle
široko	wide
toxický	toxic
vyhlašovat	announce
vyznávat	worship
zachraňovat	rescue
odboj	revolt
Patrik	Patrick
samo	itself
sudí	Judges
zavrčet	growl
foukat	blow
chovatel	breeder
rozebrat	dismantle
statný	portly
topný	Heating
Forrest	Forrest
přistání	landing
spálený	burnt
větvička	twig
výběžek	spit
zatěžovat	burden
zrod	birth
důstojně	dignity
kontrolovaný	Controlled
Ládin	Laden
představený	introduced
složitost	complexity
ustavit	establish
uváděný	featured
zobák	beak
karosérie	bodywork
realismus	realism
řezat	cut
společensky	socially
VB	UK
West	West
atlet	athlete
Cave	Cave
komfort	comfort
malér	scrape
malovaný	painted
mezní	limit
urážet	insult
bába	old woman
desetkrát	ten times
dobrodružný	adventurous
Fin	Finn
kompenzace	compensation
Louny	Louny
měšťanský	burgess
odkazovat	reference
podvozek	chassis
půldruhý	Ninety
rozhodovací	decision
sklidit	clear away
teologie	theology
ubrus	cloth
žampion	mushroom
žralok	shark
banální	banal
Detroit	Detroit
diagnostický	diagnostic
kreditní	Credit
rozeznávat	distinguish
různorodý	varied
spojitost	connection
vítaný	welcome
vyhlédnout	peer
arcibiskup	archbishop
hybný	motive
Morgan	Morgan
nabádat	urge
pomstít	revenge
smečka	pack
spravit	mend
vystupování	manner
žurnalista	journalist
Andy	Andes
kladenský	Kladno
komentátor	commentator
masakr	massacre
národnostní	national
účelový	purpose-built
uhlík	carbon
uhodnout	guess
váza	vase
Barbara	Barbara
madam	madam
mars	mars
povodí	basin
starostka	mayoress
kontinentální	continental
přiměřeně	adequately
spára	gap
Mělník	Melnik
objektivně	objectively
orlice	eagle
předstih	advance
šev	seam
tuzemsko	Domestic
zrnko	grain
číslice	digit
elementární	elementary
herní	Gaming
nížina	lowland
dýka	dagger
finálový	Final
současník	contemporary
