dolů	down
modrý	blue
současně	together
souhlasit	agree
určit	identify
tentokrát	this time
celkem	total
péče	care
řídit	manage
vysvětlovat	explain
zabývat se	deal with
leden	January
fakt	fact
pozorovat	watch
oběť	victim
projev	token
volat	call
sobota	Saturday
operace	operation
snadno	easily
nabídnout	offer
amerika	america
vítr	wind
bránit	defend
viz	see
profesor	professor
národ	nation
zvýšit	increase
veliký	great
desítka	ten
olej	oil
naučit	learn
takto	thus
čin	act
aniž	without
vyprávět	recount
zima	winter
tradiční	traditional
úprava	treatment
uvažovat	consider
dohoda	agreement
požádat	ask
new	new
odborník	expert
poměr	ratio
zavolat	call
bolest	ache
odpoledne	afternoon
pomocí	through
c	C
dojem	impression
princip	principle
klient	client
pojem	notion
závislý	addicted
přiznat	grant
soubor	file
činit	do
kůže	skin
vznik	formation
příslušný	appropriate
pamatovat	remember
dávno	a long time ago
pacient	patient
výrobce	manufacturer
klid	serenity
spojení	link
učitel	teacher
společně	together
tvorba	creation
Martin	Martin
rostlina	plant
partner	partner
ohled	respect
povídat	chat
uzavřít	close down
teorie	theory
drobný	minor
provádět	perform
hudební	music
slovenský	Slovak
karta	card
rána	blow
ven	out
zahraničí	abroad
časopis	magazine
otočit	turn over
styl	style
vznikat	rise
léto	summer
výzkum	research
opakovat	repeat
komunikace	communications
nacházet	finding
všude	everywhere
tj.	i.e.
praxe	practice
vlastnost	property
dětský	children
zas	again
severní	north
osobnost	personality
poslouchat	listen
univerzita	university
odborný	expert
hrozit	threaten
pozice	position
jižní	southern
speciální	special
obor	discipline
budoucnost	future
vážně	seriously
kilometr	kilometer
reakce	reaction
chybět	be missing
chuť	flavor
vlak	train
kapitola	section
ozvat se	speak up
produkt	product
koncert	concert
poměrně	relatively
politik	politician
oznámit	announce
náhle	suddenly
ekonomika	economy
stovka	hundred
řešit	deal with
značka	brand
povrch	surface
uprostřed	middle
postavení	status
agentura	agency
vlna	wave
nýbrž	but
výrazně	distinctly
teplota	temperature
park	park
zámek	Castle
vytáhnout	pull out
těšit	forward
krk	throat
šat	raiment
prostřednictví	mediation
poslanec	deputy
vyžadovat	require
umělecký	artistic
vědomí	consciousness
slečna	lady
značný	sizable
chystat	prepare
Němec	German
následovat	follow
květen	May
červen	June
vážný	serious
zvuk	sound
jasně	clear
jakmile	once
zvláště	especially
loňský	last year
úsměv	smile
televizní	TV
tma	darkness
drahý	expensive
letadlo	aircraft
nosit	wear
potřebný	required
jo	Yeah
zpívat	sing
velikost	size
norma	standard
setkat	meet
kolega	colleague
internet	Internet
rozpočet	budget
ucho	ear
spojit	join
výrazný	significant
připravovat	cook
konstrukce	structure
zisk	profit
poněkud	somewhat
rodinný	family
stanovit	fix
též	too
poskytovat	provide
starost	concern
Čechy	Bohemia
studie	study
tvrdý	tough
fungovat	work
průmysl	industry
médium	medium
dějiny	history
domnívat se	I think that
milý	dear
dokument	document
žádat	ask
zavřít	close
oheň	fire
stín	shadow
třicet	thirty
úvaha	reasoning
břeh	bank
vzpomenout	remember
konat	hold
mysl	mind
nemoc	disease
usmát se	smile
denně	daily
končit	ending
instituce	institution
věda	science
sdělit	communicate
Paříž	Paris
uvnitř	inside
nedostatek	shortage
říjen	October
J	J
prázdný	empty
probíhat	take place
pokoušet	tempt
nicméně	however
přítomnost	presence
sotva	barely
krátce	short
návrat	return
lehký	light
píseň	song
pevný	firm
Rusko	Russia
nijak	no
kuchyně	cooking
oddělení	department
nejprve	first
víra	faith
přejít	traverse
okraj	edge
částka	sum
záležet	matter
buňka	cell
církev	church
odpad	waste
le	le
pryč	gone
apod.	like.
poskytnout	grant
výběr	selection
vítězství	victory
radnice	town hall
tradice	tradition
studio	studio
účast	participation
výhoda	benefit
zkouška	exam
noční	night
tábor	camp
běžet	run
předpis	prescription
výjimka	exception
krajina	scenery
návštěvník	visitor
nebe	heaven
herec	actor
svaz	union
klasický	classical
František	Pastille
akcie	share
postoj	attitude
střecha	top
učinit	do
účel	purpose
dodávat	deliver
vyjádřit	express
neustále	constantly
listopad	November
zdravý	healthy
použití	application
celek	complex
zvednout	pick up
dráha	track
snímek	image
Vladimír	Vladimír
napětí	tension
informovat	inform
potíž	difficulty
deska	board
bezpečnost	safety
březen	March
domov	home
srpen	August
existence	existence
starosta	mayor
dozvědět se	Learn
prodat	sell
padnout	fall
předchozí	previous
týž	the same
York	York
sníh	snow
tabulka	table
liga	league
adresa	address
duben	April
zdravotní	health
padesát	fifty
obvyklý	usual
dvakrát	twice
smát se	laugh
spatřit	see
generace	generation
investice	investment
dispozice	disposition
obrana	defense
zub	tooth
zpět	back
pivo	beer
charakter	character
poznamenat	note
ústav	institute
přemýšlet	think
nebezpečí	danger
slabý	weak
přirozený	natural
sůl	salt
objevovat	discover
délka	length
hezký	handsome
normální	normal
nemocný	sick
analýza	analysis
přední	front
galerie	gallery
zdraví	health
zásada	principle
umožnit	enable
podávat	feed
vejít	enter
výbor	committee
jaro	spring
Marie	Marie
informační	Information
kamarád	pal
the	the
dvůr	yard
umělec	artist
ostatně	moreover
filmový	movie
pravděpodobně	probably
případně	eventually
poznámka	remark
utkání	match
složitý	complex
pěkný	pretty
počkat	wait
motor	engine
vesnice	village
trest	punishment
nedávno	recently
atd	etc.
narodit	born
zvolit	choose
ryba	fish
kategorie	category
vůle	will
bohužel	unfortunately
omezený	limited
bavit	entertain
spor	dispute
těžko	difficult
Tomáš	Thomas
kino	theater
kurs	course
pocházet	come
československý	Czechoslovak
pravit	to edit the
využití	utilization
úzký	close
hladina	level
reagovat	react
Čech	Čech
vystoupit	alight
okolnost	circumstance
věta	sentence
důkaz	evidence
Jaroslav	Jaroslav
prakticky	practically
zítra	tomorrow
devět	nine
přesný	accurate
pták	bird
navštívit	visit
literatura	literature
obecný	general
výška	height
udržet	keep
vládní	governmental
ticho	silence
průmyslový	industrial
dopadnout	strike
stopa	footprint
zahájit	launch
euro	euro
vstát	rise
hledět	look
pátek	Friday
budoucí	future
Američan	American
vodní	water
bojovat	fight
II	II
klidně	quietly
obava	fear
východ	East
setkání	meeting
snížit	reduce
hrad	castle
účastník	participant
tentýž	same
ženský	female
sejít	meet
předpoklad	assumption
kapsa	pocket
manažer	manager
režim	mode
vadit	hinder
připomenout	remind
zlý	evil
vazba	weave
východní	east
výstavba	construction
představitel	representative
vnější	outer
seznam	list
elektrický	electrical
zbavit	relieve
hnutí	movement
únor	February
italský	Italian
znalost	knowledge
přinášet	produce
ret	lip
paměť	memory
jíst	eat
odjet	leave
bezpečnostní	security
nárok	claim
západ	West
prodávat	sell
vydržet	withstand
prosinec	December
podporovat	promote
nastat	come
díl	part
podlaha	flooring
dospělý	adult
původně	originally
občanský	civil
novinář	journalist
cosi	something
boží	divine
km	km
zvlášť	separately
ročník	year
vozidlo	vehicle
všecek	all the keen
krajský	regional
pozdní	late
zvýšení	increase
pít	drink
akciový	joint-stock
vražda	murder
chodba	corridor
cenný	valuable
podnikatel	businessman
Ostrava	Ostrava
odpor	resistance
přírodní	natural
touha	desire
vzájemný	mutual
podstatný	substantial
kontakt	contact
plzeň	plzeň
čtvrtý	fourth
dřevěný	wooden
mladík	youngster
chvilka	bit
průměr	average
vyrazit	set off
nos	nose
investor	investor
odmítat	reject
rozsah	scope
automobil	car
tajný	secret
vyvolat	cause
úředník	official
vzpomínka	memory
červenec	July
fáze	phase
teplý	warm
účet	bill
tušit	suspect
snadný	easy
klást	put
nápad	idea
noviny	newspaper
pondělí	Monday
účinek	effect
tiše	quietly
žádost	application
festival	festival
zkusit	try
premiér	premier
mozek	brain
zadní	rear
nahoru	up
restaurace	restaurant
anglický	English
smích	laughter
režisér	director
typický	typical
chlap	guy
plyn	gas
zbývat	remain
oblíbený	favorite
produkce	production
patnáct	fifteen
podílet	share
závislost	addiction
skvělý	great
vězení	prison
ČSSD	CSSD
sbírka	collection
finance	finance
parlament	parliament
stálý	stable
Sb	Sb
Anna	Anna
čtenář	reader
hotový	ready
termín	deadline
jízda	ride
projevit	exhibit
nepřítel	enemy
teplo	heat
Londýn	London
jemný	fine
rozsáhlý	extensive
autobus	bus
krása	beauty
cukr	sugar
promluvit	speak
kvalitní	quality
zachovat	preserve
region	region
bota	shoe
dodnes	to this day
gól	goal
zmíněný	said
hodlat	intend
svobodný	free
navrhnout	suggest
dovnitř	inwards
John	John
vnímat	perceive
spočívat	rest
přičemž	while
kruh	circle
levý	left
přibližně	about
úvěr	credit
mm	mm
označit	mark
potkat	meet
sportovní	sports
posadit	sit
faktor	factor
studovat	study
náročný	challenging
objem	volume
horký	hot
znak	character
David	David
tatínek	Daddy
nově	new
soudce	judge
překvapit	surprise
nastoupit	board
