pojišťovna	Insurance
odlišný	different
výměna	exchange
židovský	Jewish
vzdělání	education
slza	tear
rakouský	Austrian
úsek	section
rudý	red
dosahovat	reach
Ing	Ing
zúčastnit	participate
zaměstnání	employment
bankovní	banking
nádherný	gorgeous
pošta	post office
socha	statue
smutný	sad
hlásit	report
naštěstí	fortunately
volit	choose
Anglie	England
kampaň	campaign
okruh	circuit
led	ice
doporučovat	recommending
pochopitelně	naturally
spojovat	splice
výchova	education
báseň	poem
pokles	drop
předat	convey
elektrárna	power station
rovný	straight
slíbit	promise
útočník	forward
výtvarný	plastic
byť	be
dodávka	supply
soused	neighbor
ustanovení	provision
brněnský	Brno
komunistický	Communist
příznivý	favorable
demokracie	democracy
zvýšený	increased
lístek	ticket
váha	weight
linie	line
vteřina	second
rozhodující	critical
zásoba	supply
vítěz	winner
označovat	branding
revoluce	revolution
prospěch	benefit
společenství	community
Rakousko	Austria
jakoby	though
ekologický	ecological
láhev	bottle
letecký	air
trvalý	permanent
přistoupit	accede
elektřina	electricity
trend	trend
připojit	connect
domek	house
vařit	cook
vinný	guilty
výdaj	expenditure
obchodník	businessman
obtížný	difficult
motiv	motif
plnit	perform
kdykoliv	anytime
pojetí	conception
omezit	limit
šťáva	juice
zažít	experience
vzor	pattern
stoupat	rise
slušný	decent
specifický	specific
Irák	Iraq
hrozně	awfully
A	A
opatrně	carefully
nádraží	railway station
vrhnout	cast
obvinit	blame
odnést	carry
divoký	wild
čaj	tea
titul	title
Morava	Moravia
organismus	organism
postupovat	proceed
Richard	Richard
vybírat	choose
ovlivňovat	influence
mírně	gently
nahoře	above
proběhnout	run through
hodný	worthy
zajišťovat	provide
královna	queen
kritika	criticism
fakulta	faculty
pořad	agendas
měkký	soft
prozradit	reveal
fronta	queue
poznání	cognition
Kája	Kája
zásah	intervention
omezení	limitations
příbuzný	related
pojištění	insurance
realizace	realization
prach	dust
sexuální	sexual
kombinace	combination
stáhnout	Download
demokratický	democratic
usmívat se	smile
schválit	approve
zájemce	candidates
blok	block
svazek	volume
fotbalista	footballer
skrývat	hide
zvyk	custom
V	In
vyhnout	dodge
trať	track
soustředit	focus
komora	chamber
mapa	map
účinný	effective
střed	middle
průzkum	exploration
dovolená	holiday
násilí	violence
současnost	present
zajít	go
košile	shirt
založený	founded
LN	LN
mistrovství	championship
obávat	worry
květ	flower
skladba	composition
sazba	rate
souhlas	agreement
doslova	literally
vyřešit	solve
posílat	sent
naproti	opposite
doklad	document
kapacita	capacity
chladný	cool
zločin	felony
P	P
hrob	grave
důvěra	confidence
svátek	feast
umělý	artificial
směs	mix
zaměstnavatel	employer
správní	administrative
obloha	garnish
WWW	WWW
zimní	winter
záznam	record
cz	com
úterý	Tuesday
trestní	criminal
zařadit	classify
dodavatel	contractor
přiblížit	approach
kmen	tribe
soustava	system
klášter	monastery
tiskový	press
bytost	creature
kamenný	stone
x	x
M	M
křesťanský	Christian
hrdina	hero
kritérium	criterion
provedení	performance
cit	emotion
skála	rock
mínit	mean
novina	news
vesmír	space
jádro	core
klobouk	hat
kněz	priest
dole	down
ukončit	terminate
mohutný	massive
plat	salary
prosadit	enforce
obvod	circuit
levný	cheap
ocitnout	find themselves
divit	wonder
částečně	partly
mobilní	mobile
mužstvo	team
zelenina	vegetables
nalézt	find
vládnout	govern
hodnotit	judge
najevo	clear
náhodou	by chance
série	series
dar	gift
rod	genus
individuální	individual
schůzka	meeting
vlastník	owner
mezitím	meanwhile
vybavit	equip
vykřiknout	exclaim
bitva	battle
koukat	watch
tlustý	thick
hluboko	deep
viditelný	visible
ideální	ideal
převážně	predominantly
někam	somewhere
zemědělský	farm
hospoda	pub
podpořit	promote
management	management
Japonsko	Japan
mírný	moderate
Helena	Helena
svědčit	witness
zato	for
ovládat	dominate
efekt	effect
of	of
potravina	foodstuff
mzda	wage
vůdce	leader
jaderný	nuclear
kořen	root
konkurence	competition
polský	Polish
říše	empire
dle	according to
trasa	itinerary
mužský	male
přísný	strict
dospět	grow up
problematika	issue
odhalit	reveal
prohlédnout	inspect
přerušit	interrupt
soulad	harmony
patro	storey
zmínit	mention
vyskytovat se	occur
přenos	transmission
kritický	critical
naprostý	sheer
hromada	pile
chemický	chemical
dočkat	wait
naplnit	fill
poněvadž	because
dav	crowd
proměnit	convert
dvojice	pair
závažný	serious
zbytný	non-essential
budit	draw
odhad	estimate
písek	sand
větev	branch
okres	county
znamení	sign
denní	daily
podél	along
svěřit	entrust
zrcadlo	mirror
Budějovice	Budějovice
hrozný	dreadful
nechávat	leave
sluneční	solar
snášet	suffer
I	I
patrný	noticeable
Vídeň	Vienna
choroba	disease
výklad	interpretation
