světelný	light
terorista	terrorist
vděčný	thankful
vývoz	export
písemný	written
štít	shield
papírový	papery
radovat	rejoice
alternativa	alternative
motivace	motivation
obzor	horizon
krvavý	bloody
priorita	priority
koupě	purchase
jed	poison
perspektiva	perspective
zamilovat	love
spáchat	commit
Japonec	Japanese
zaměření	focus
pochyba	doubt
vyznačovat	distinguish
Jihlava	Jihlava
opatřit	provide
tekutina	fluid
výslech	interrogation
irácký	Iraqi
přejet	run over
rukáv	sleeve
rýže	rice
emoce	emotion
související	Related
spoléhat	rely
licence	license
odkaz	link
zářit	shine
kyslík	oxygen
vskutku	indeed
zacházet	treat
stánek	stand
metrum	meter
peněžní	cash
svíčka	candle
kapitálový	capital
přibýt	accrue
dovoz	import
obejmout	hug
půjčit	lend
všední	everyday
jízdní	mounted
trávník	lawn
vynořit	emerge
vystavovat	exhibit
komentář	comment
medicína	medicine
zvukový	audible
mýtus	myth
zpravodajský	News
zastávat	stand
jednoznačný	clear
odrůda	variety
rozlišovat	distinguish
hřbet	spine
upřímný	honest
sdílet	Share
pozorování	observation
zřídka	rarely
výborně	great
zaútočit	attack
bezprostředně	immediately
nabýt	acquire
zakladatel	founder
historka	story
omlouvat	apologize
protivník	adversary
Jindřich	Henry
karlovarský	Carlsbad
koneckonců	after all
operátor	operator
poranění	injury
střet	clash
drsný	rough
jakožto	as
porušit	violate
pach	odor
pohlavní	sexual
sporný	controversial
ves	village
uchopit	grasp
přidávat	add
vyvést	Remove
ďábel	devil
osmdesát	eighty
provozovatel	operator
vypovídat	testify
dobro	good
éra	era
běhat	run
záplava	flooding
prezentace	Presentation
vykazovat	exhibit
převod	transfer
oddělit	separate
vitamín	vitamin
zakládat	post
bejt	Beit
čeština	Czech
pronikat	permeate
prevence	prevention
recept	recipe
hračka	plaything
servis	service
vedený	led
brambor	potato
miláček	sweetheart
navazovat	continue
koule	globe
křehký	brittle
oblak	cloud
William	William
nervový	nervous
vylučovat	secrete
dojet	reach
křesťan	Christian
konkrétně	concretely
jihočeský	jihočeský
pálit	fire
poklad	treasure
minout	overpass
mletý	ground
prsten	ring
dobrodružství	adventure
papež	pope
vyrovnaný	balanced
terapie	therapy
Gross	Gross
Charles	Charles
usoudit	infer
všeobecně	universally
ideál	ideal
mírový	Peace
pracující	working
bojový	fighting
civilní	civil
kdesi	where are you
ležící	lying
spektrum	spectrum
uznání	recognition
postrádat	lack
energetika	energetics
manipulace	manipulation
udeřit	strike
dialog	dialogue
Telecom	Telecom
opatrný	cautious
zbylý	residual
limit	limit
nasazení	use
rozpaky	embarrassment
rám	frame
sehrát	play
inteligence	intelligence
Hitler	Hitler
loket	elbow
odpůrce	respondent
poslechnout	listen
vytvořený	created
podléhat	be subject to
Švédsko	Sweden
originální	original
Kristus	Christ
pozorně	attentively
šířka	width
keř	bush
Polák	Pole
Bratislava	Bratislava
hlasovat	vote
minimum	minimum
řemeslo	craft
odjíždět	leave
bankovka	banknote
porce	serving
příznivec	well-wisher
vzdělávací	educational
záliv	gulf
zatížení	load
posuzovat	judge
plavat	swim
hlína	clay
stěží	barely
mrzet	vex
sňatek	marriage
atraktivní	attractive
sídliště	housing estate
uplynout	elapse
infrastruktura	infrastructure
Stalin	Stalin
hudebník	musician
statistický	statistic
báze	base
major	major
uchazeč	applicant
narozený	born
