zatáčka	turn
akceptovat	accept
rozpustit	dissolve
strkat	push
vědomost	knowledge
fajn	okay
probouzet	wake
památník	memorial
vyznání	confession
zpod	from beneath
octnout	find oneself
odběratel	subscriber
pobývat	stay
pohřební	funereal
oživení	revival
pýcha	pride
dekret	decree
externí	external
vídat	seeing
vydavatel	publisher
zlepšovat	improving
hořící	burning
zapůsobit	impress
Open	Open
ozvěna	echo
rozvinutý	developed
zaplavit	flood
prozkoumat	explore
rekordní	record
řízek	steak
teze	thesis
vykázat	expel
nazývaný	called
Portugalsko	Portugal
ušlechtilý	noble
Ben	Ben
upoutat	captivate
zaplnit	fill
tabák	tobacco
zápach	odor
hradiště	Strongholds
kostička	Bone
potichu	quietly
vyloučení	exclusion
zakázaný	prohibited
it	it
buben	drum
Korea	Korea
Mooshabrová	Mooshabrová
šatna	cloakroom
samozřejmost	obviousness
úkryt	shelter
maličkost	trifle
placení	payment
kriminalista	criminologist
atomový	atomic
rolník	farmer
vmíchat	mix in
dvojnásobný	double
míle	mile
Alice	Alice
granát	grenade
nafta	oil
živel	element
celostátní	nationwide
cenit	value
nabízený	offered
napravit	remedy
prvotní	prime
delegace	delegation
angažovat	engage
shodit	throw
bohatě	richly
krysa	rat
lekce	lessons
Řek	Greek
námořnictvo	Navy
označený	marked
infarkt	heart attack
moderátor	moderator
nuda	boredom
přidělit	allocate
trup	hull
vyzývat	urge
zkáza	destruction
Jack	Jack
náklaďák	truck
pánbůh	God
týdeník	weekly
hanba	shame
každopádně	In any event,
zhluboka	deep
vzdávat	give up
FMV	FMV
přestavba	reconstruction
směna	shift
umožňující	enabling
verdikt	verdict
přilákat	Attract
čištění	cleaning
jedovatý	toxic
Louis	Louis
Republika	Republic
finský	Finnish
výslovně	expressly
důstojnost	dignity
dvířka	door
přehlédnout	overlook
rock	rock
vysokoškolský	academic
operovat	operate
porost	growth
sušený	dried
Dagmar	Dagmar
der	der
image	image
naživu	alive
rozlišení	distinction
větrný	windy
Benátky	Venice
pouliční	street
Tereza	Tereza
valit	roll
vypořádat	deal
amatérský	amateurish
Cheb	Cheb
pojistka	insurance
stahovat	download
válet	lol
přeměna	conversion
otřes	shock
formulář	form
kriminalita	criminality
vědění	knowledge
věrnost	faithfulness
vráska	wrinkle
dálkový	remote
Indián	Indian
lucerna	lantern
půvab	gracefulness
zapomenutý	forgotten
bydliště	residence
odchylka	deviation
závada	fault
bunda	jacket
nucený	compulsory
olivový	olive
prodavač	salesman
léčebný	therapeutic
levice	left
obstát	hold up
odolný	resistant
shora	above
výčitka	reproach
zabírat	occupy
zvenčí	from without
dánský	Danish
těhotný	pregnant
mávnout	wave
šle	suspenders
zhodnotit	valorize
doložit	submit
ordinace	surgery
plechovka	tin
propuštění	release
fólie	foil
Lenka	Lenka
vyrážet	sprout
bankovnictví	banking
omluva	apology
předsíň	hall
syrový	raw
šíp	arrow
teoreticky	in theory
záporný	negative
mléčný	dairy
Cup	Cup
časný	early
obsazení	cast
pustý	desolate
Bob	Bean
nudit	bore
rozdávat	give out
konstrukční	structural
příznačný	symptomatic
rozdělovat	dole out
vytápění	Heating
odletět	fly out
koaliční	Coalition
podívaná	sight
rybí	fish
sortiment	assortment
ledovec	glacier
Madrid	Madrid
otázat	inquire
operní	opera
potřetí	third
sloužící	serving
zachycovat	Capturing
housle	violin
nejenže	Not only
laskavě	kindly
povzdechnout	Sigh
převažovat	outbalance
velet	command
zvládat	cope
frank	franc
naplnění	fulfillment
rovnat	match
školka	kindergarten
zobrazovat	show
zpomalit	slow down
jáma	pit
Klára	Clare
průchod	passage
balvan	boulder
německy	German
sprcha	shower
vstupné	admission
zamumlat	mutter
dlužit	owe
interakce	interaction
operativní	operative
přiletět	come in
instalovat	install
podřídit	subordinate
upustit	waived
obklopovat	surrounding
Putin	Putin
všelijaký	shady
dokončený	completed
Chrudim	Chrudim
válec	cylinder
C	C
obhajoba	defense
řídký	thin
včerejšek	yesterday
odstraňovat	remove
pohonný	driving
důsledně	consistently
přikrýt	cover
přivolat	call
Žižkov	Zizkov
oprávnění	authorization
zemina	soil
zemní	terrestrial
kvést	flower
rybářský	Fisheries
panika	panic
potýkat	contend
proudit	flow
trestat	punish
nátěr	coating
šofér	chauffeur
rodák	native
vybojovat	to fight
doprovodit	escort
páteční	Friday
Maria	Maria
propojit	link
šero	dimness
úkor	expense
paradoxně	Paradoxically,
použitelný	applicable
uvolňovat	release
překvapeně	surprise
zesilovač	amplifier
ptačí	can
tygr	tiger
holding	Holding
křeč	cramp
kW	kW
postranní	side
světský	secular
holandský	Dutch
výdělek	earnings
vyskytnout	Occur
zemětřesení	earthquake
autobusový	bus
vynikat	excel
zapadat	go down
dynamika	dynamics
hořký	bitter
chov	breeding
lesknout	glisten
střídavě	alternately
zářivý	radiant
držení	holding
obzvláště	especially
harmonie	harmony
lyže	skis
nadcházející	coming
říkávat	říkávat
Sára	Sarah
škodit	harm
Mahler	Mahler
sekundární	secondary
story	story
tzn	ie
zvážit	consider
děvčátko	girl
exponát	exhibit
najíst	eat
argentinský	Argentine
dopravce	carrier
interpretovat	interpret
kombinovat	combine
Larch	Larch
pronikavý	shrill
přebírat	take over
přesvědčovat	persuading
realistický	realistic
srst	fur
citlivost	sensitivity
krajan	homeboy
Brown	Brown
ironie	irony
beseda	Beseda
fyzika	physics
zajisté	surely
četba	reading
přednosta	Head
dieta	diet
DNA	DNA
nadechnout	breathe
stýkat	consort
výplata	paycheck
brzda	brake
veranda	veranda
zamítnout	reject
aneb	or
mocnost	power
nota	note
obdoba	analogy
přehledný	synoptic
historicky	historically
matematika	mathematics
próza	prose
učební	learning
onemocnět	sicken
vzejít	come
liška	fox
odhalení	revelation
resort	department
startovat	take off
zkrátit	shorten
soumrak	twilight
školení	Training
dočasně	temporarily
fotografický	photographic
ochránit	protect
