a	the
meg	to
vagy, van, vagyok, vannak, vagytok	or there, I'm there, you are
volt	It was
már	already
kell	must
még	yet
és	and
mint	as
azt, az	it is
akkor	then
sem	neither
lehet	may
mert	because
minden	all
olyan	so
szerint	according to
pedig	in turn
ezt, ez	this is
így	so
után	after
úgy	so
nagy	great
fel	up
majd	then
két	two
nem	no
nagyon	very
aki, akik, akit, kit, kik	who, who, who, who, who
most	now
több	more
lesz	will be
itt	here
magyar	Hungarian
ami, amik, amit, mit	is that what what
első	first
között	between
amely	which
hanem	but also
nincs	no
más	other
illetve	and
alatt	below
egyik	one
volna	have
arra	to
kft.	ltd.
ilyen	such
azonban	but
sok	lot
való	to
által	by
amikor	when
számára	for
valamint	as well as
azért	therefore
egy	one
saját	own
jól	well
ember	human
ahol	where
ott	there
annak	to
mindig	always
miatt	for
mellett	next to
kis	little
alapján	Based on
lenne	It would be
előtt	before
egész	whole
nélkül	without
lett	became
ezért	therefore
igen	yes
másik	other
stb.	etc
teljes	complete
néhány	some
során	In
ma	today
hiszen	because
milyen	what
mely	deep
mind	all
valami	something
viszont	however
áll	stand
tehát	Therefore,
inkább	rather
legyen	whether
három	three
tudom	I know
amelyek	which
éves	years old
ezek	these
adott	given
nagyobb	bigger
például	for example
szükséges	necessary
együtt	together
azok	they
akár	will
tovább	further
ennek	for this
nekem	me
megfelelő	appropriate
őket	them
szó	word
elég	enough
hozzá	him
erre	this
neki	him
ezzel	with this
következő	next
esetén	In case of
mivel	because
ezen	this
belül	within
éppen	just
közül	Among
fontos	important
jobb	right
benne	in it
magát	herself
esetben	event
talán	maybe
különböző	different
voltak	They were
fog	tooth
teljesen	completely
maga	itself
rendszer	system
nap	day
egyes	single
található	found
vele	with him
ebben	in this
kellett	I had
második	second
túl	too
minden	all
egyre	ever
csak	only
arról	about
valaki	someone
ennek	for this
óta	since
emberek	people
egyéb	other
ahogy	as
semmi	nothing
tudja	you know
azzal	with
ugyanis	namely
került	It was
ellen	against
mondta	He told
miért	why
aztán	then
című	on
kicsit	a bit
módon	way
vissza	back
bár	bar
világ	world
abban	therein
legnagyobb	greatest
legalább	at least
mindenki	everyone
jelent	mean
újra	again
persze	of course
részt	part
tud	can
kívül	outside
eddig	so far
most	now
össze	together
keresztül	through
biztos	commissioner
utolsó	last
isten	God
idő	time
azon	is your
itt	here
kerül	cost
szinte	almost
egyetlen	single
dolog	thing
szép	beautiful
mikor	when
mégis	yet
érdekében	To
felé	to
mai	modern
szemben	against
sokkal	much
jog	law
hogyan	how
összes	all
gazdasági	economic
ide	here
nemzetközi	international
szerintem	I think
míg	while
további	further
képes	able
szakmai	professional
legjobb	best
így	so
amelyet	which
általában	usually
újabb	another
évi	yearly
szóló	solo
tovább	further
kellene	should
hosszú	long
kapcsolatban	connection
helyi	local
jobban	more
politikai	political
kapcsolatos	related
régi	old
ezek	these
cég	company
szabad	free
egyszer	once
része	part
azokat	those
emberi	human
teszi	makes
készült	made
számos	several
közös	common
sikerült	succeeded
rossz	bad
közben	during
hasonló	similar
lévő	in
hazai	home
törvény	law
történt	occurred
segítségével	help
száma	The number
élet	life
kapott	got
igaz	true
mindent	everything
esetleg	maybe
még	yet
külön	separately
oldal	page
bizonyos	some
